-1.000000000000000000e+01 5.468843708954889945e-04 5.468727795457212736e-04 1.142248480853447269e-08 1.575306969549189502e-12 1.672896522823195389e-10
-9.979979979979979987e+00 5.663562505896402484e-04 5.663436966062997385e-04 1.237371887249927895e-08 1.737134195079984133e-12 1.785273337455313023e-10
-9.959959959959959974e+00 5.864626871632538669e-04 5.864490929655443970e-04 1.340178164793881204e-08 1.915244314207192430e-12 1.905008172031725039e-10
-9.939939939939939961e+00 6.072221104544419604e-04 6.072073924112764490e-04 1.451267495370692432e-08 2.111240126421341731e-12 2.032569716401181314e-10
-9.919919919919919948e+00 6.286534041248253600e-04 6.286374720997910419e-04 1.571285259182058910e-08 2.326878564144276180e-12 2.168455638114209192e-10
-9.899899899899899935e+00 6.507759140410212867e-04 6.507586709044797368e-04 1.700925302471864310e-08 2.564085150170011324e-12 2.313194316680361003e-10
-9.879879879879879923e+00 6.736094567181019578e-04 6.735907978241558684e-04 1.840933430859538789e-08 2.824969775384732789e-12 2.467346677961231567e-10
-9.859859859859859910e+00 6.971743278221303932e-04 6.971541404480425868e-04 1.992111143051218738e-08 3.111843913897148074e-12 2.631508134254101369e-10
-9.839839839839839897e+00 7.214913107287636773e-04 7.214694734742545679e-04 2.155319620607405425e-08 3.427239402779657551e-12 2.806310635915771280e-10
-9.819819819819819884e+00 7.465816851347372059e-04 7.465580672784200619e-04 2.331483990405076723e-08 3.773928924525605497e-12 2.992424840685254043e-10
-9.799799799799799871e+00 7.724672357189344861e-04 7.724416965289710151e-04 2.521597877446691853e-08 4.154948342135287943e-12 3.190562407188919514e-10
-9.779779779779779858e+00 7.991702608495870278e-04 7.991426488454567200e-04 2.726728266739354382e-08 4.573621049526285471e-12 3.401478419452647782e-10
-9.759759759759759845e+00 8.267135813340009817e-04 8.266837334960805373e-04 2.948020694098678418e-08 5.033584513797554186e-12 3.625973949603684801e-10
-9.739739739739739832e+00 8.551205492070642787e-04 8.550882901304992113e-04 3.186704786926002005e-08 5.538819200846641534e-12 3.864898766320712281e-10
-9.719719719719719819e+00 8.844150565546400351e-04 8.843801975437675170e-04 3.444100177267831808e-08 6.093680092033685244e-12 4.119154196985042248e-10
-9.699699699699699806e+00 9.146215443678026901e-04 9.145838824671484631e-04 3.721622810796413012e-08 6.702931017101394281e-12 4.389696151899950903e-10
-9.679679679679679793e+00 9.457650114236975953e-04 9.457243283813160633e-04 4.020791676752400744e-08 7.371782047499874760e-12 4.677538319379367960e-10
-9.659659659659659781e+00 9.778710231886972217e-04 9.778270843473590816e-04 4.343235985370550226e-08 8.105930214742010947e-12 4.983755540963107013e-10
-9.639639639639639768e+00 1.010965720739322128e-03 1.010918273850771893e-03 4.690702820867651265e-08 8.911603840544525797e-12 5.309487376493422096e-10
-9.619619619619619755e+00 1.045075829696271883e-03 1.045024603653477114e-03 5.065065299715850220e-08 9.795610789426629007e-12 5.655941869289525544e-10
-9.599599599599599742e+00 1.080228669166742768e-03 1.080173372648742837e-03 5.468331265655708249e-08 1.076539098027369302e-11 6.024399522182032282e-10
-9.579579579579579729e+00 1.116452160690044803e-03 1.116392480713674284e-03 5.902652554726682309e-08 1.182907352128031118e-11 6.416217495720726299e-10
-9.559559559559559716e+00 1.153774837181394293e-03 1.153710437553796212e-03 6.370334865513183931e-08 1.299553886282179580e-11 6.832834040447156959e-10
-9.539539539539539703e+00 1.192225851868562985e-03 1.192156371534040717e-03 6.873848271825310656e-08 1.427448639533868663e-11 7.275773175729047803e-10
-9.519519519519519690e+00 1.231834987215945721e-03 1.231760038490303322e-03 7.415838417160814525e-08 1.567650795443533582e-11 7.746649628288560137e-10
-9.499499499499499677e+00 1.272632663830419774e-03 1.272551830515522260e-03 7.999138432532323430e-08 1.721316773328989116e-11 8.247174044222076643e-10
